source,recipient,issueDomain,amount,flowType,traceability,largeDonorShare,sourceRecordId,sourceUrl,committeeType,spendingPurpose,supportOppose,disclosureLag
BERGER ACTION FUND INC,Opaque issue-advocacy capacity,democracy,2.4781,DARK_MONEY,0.1200,0.7400,208948868,https://www.irs.gov/pub/irs-soi/eo_dc.csv,501(c)(4) capacity proxy,opaque nonprofit advocacy capacity proxy,,0.5500
AMERICAN PETROLEUM INSTITUTE,Opaque issue-advocacy capacity,democracy,1.5140,DARK_MONEY,0.2400,0.6400,130433430,https://www.irs.gov/pub/irs-soi/eo_dc.csv,501(c)(6) capacity proxy,opaque nonprofit advocacy capacity proxy,,0.5500
AMERICAN BANKERS ASSOCIATION,Opaque issue-advocacy capacity,finance,1.0525,DARK_MONEY,0.2400,0.6400,521001304,https://www.irs.gov/pub/irs-soi/eo_dc.csv,501(c)(6) capacity proxy,opaque nonprofit advocacy capacity proxy,,0.5500
AB FOUNDATION,Opaque issue-advocacy capacity,democracy,0.8949,DARK_MONEY,0.1200,0.7400,275278038,https://www.irs.gov/pub/irs-soi/eo_dc.csv,501(c)(4) capacity proxy,opaque nonprofit advocacy capacity proxy,,0.5500
NATIONAL RESTAURANT ASSOCIATION,Opaque issue-advocacy capacity,democracy,0.6990,DARK_MONEY,0.2400,0.6400,361525480,https://www.irs.gov/pub/irs-soi/eo_dc.csv,501(c)(6) capacity proxy,opaque nonprofit advocacy capacity proxy,,0.5500
AMERICAN ACTION NETWORK INC,Opaque issue-advocacy capacity,democracy,0.6841,DARK_MONEY,0.1200,0.7400,270730508,https://www.irs.gov/pub/irs-soi/eo_dc.csv,501(c)(4) capacity proxy,opaque nonprofit advocacy capacity proxy,,0.5500
CTIA-THE WIRELESS ASSOCIATION,Opaque issue-advocacy capacity,democracy,0.6259,DARK_MONEY,0.2400,0.6400,521347628,https://www.irs.gov/pub/irs-soi/eo_dc.csv,501(c)(6) capacity proxy,opaque nonprofit advocacy capacity proxy,,0.5500
CREDIT UNION NATIONAL ASSOCIATION INC,Opaque issue-advocacy capacity,finance,0.6235,DARK_MONEY,0.2400,0.6400,237065623,https://www.irs.gov/pub/irs-soi/eo_dc.csv,501(c)(6) capacity proxy,opaque nonprofit advocacy capacity proxy,,0.5500
EDISON ELECTRIC INSTITUTE,Opaque issue-advocacy capacity,energy,0.6109,DARK_MONEY,0.2400,0.6400,130659550,https://www.irs.gov/pub/irs-soi/eo_dc.csv,501(c)(6) capacity proxy,opaque nonprofit advocacy capacity proxy,,0.5500
INVESTMENT COMPANY INSTITUTE,Opaque issue-advocacy capacity,democracy,0.4990,DARK_MONEY,0.2400,0.6400,135266605,https://www.irs.gov/pub/irs-soi/eo_dc.csv,501(c)(6) capacity proxy,opaque nonprofit advocacy capacity proxy,,0.5500
AMERICAN COUNCIL OF LIFE INSURERS INC,Opaque issue-advocacy capacity,democracy,0.4637,DARK_MONEY,0.2400,0.6400,521044350,https://www.irs.gov/pub/irs-soi/eo_dc.csv,501(c)(6) capacity proxy,opaque nonprofit advocacy capacity proxy,,0.5500
CENTER FOR VOTER INFORMATION,Opaque issue-advocacy capacity,democracy,0.4493,DARK_MONEY,0.1200,0.7400,030554750,https://www.irs.gov/pub/irs-soi/eo_dc.csv,501(c)(4) capacity proxy,opaque nonprofit advocacy capacity proxy,,0.5500
ELECTRONIC PAYMENTS COALITION INC,Opaque issue-advocacy capacity,democracy,0.4366,DARK_MONEY,0.2400,0.6400,474908678,https://www.irs.gov/pub/irs-soi/eo_dc.csv,501(c)(6) capacity proxy,opaque nonprofit advocacy capacity proxy,,0.5500
THE FAIRNESS PROJECT,Opaque issue-advocacy capacity,democracy,0.3998,DARK_MONEY,0.1200,0.7400,371779557,https://www.irs.gov/pub/irs-soi/eo_dc.csv,501(c)(4) capacity proxy,opaque nonprofit advocacy capacity proxy,,0.5500
NATIONAL ASSOCIATION OF MANUFACTURERS OF THE USA,Opaque issue-advocacy capacity,democracy,0.3703,DARK_MONEY,0.2400,0.6400,131084330,https://www.irs.gov/pub/irs-soi/eo_dc.csv,501(c)(6) capacity proxy,opaque nonprofit advocacy capacity proxy,,0.5500
MORTGAGE BANKERS ASSOCIATION OF AMERICA,Opaque issue-advocacy capacity,finance,0.3579,DARK_MONEY,0.2400,0.6400,361505650,https://www.irs.gov/pub/irs-soi/eo_dc.csv,501(c)(6) capacity proxy,opaque nonprofit advocacy capacity proxy,,0.5500
NUCLEAR ENERGY INSTITUTE INC,Opaque issue-advocacy capacity,energy,0.3562,DARK_MONEY,0.2400,0.6400,521209124,https://www.irs.gov/pub/irs-soi/eo_dc.csv,501(c)(6) capacity proxy,opaque nonprofit advocacy capacity proxy,,0.5500
PLASTICS INDUSTRY ASSOCIATION INC,Opaque issue-advocacy capacity,democracy,0.3515,DARK_MONEY,0.2400,0.6400,131325282,https://www.irs.gov/pub/irs-soi/eo_dc.csv,501(c)(6) capacity proxy,opaque nonprofit advocacy capacity proxy,,0.5500
