gate,status,evidence,nextAction
journal-target-and-article-type,ready,local title=yes; Wiley title=yes; journal metadata=yes; article type=yes; target comment=yes,Keep the Wiley wrapper targeted to Regulation & Governance as an original article.
word-limit,ready,approximate words=8234; preferred range=8000-10000; within preferred=yes; normal upper limit=11000; Research Forum limit=6000,Keep the manuscript in the preferred range when feasible and below the normal upper limit.
abstract-and-keywords,ready,local abstract=yes; local keywords=yes; Wiley abstract=yes; Wiley keywords=yes; abstract words <= 150=yes; abstract words=99,Retain extractable abstract and keyword metadata in both local and Wiley wrappers.
title-page-metadata,ready,local author=yes; local affiliation=yes; local country=yes; local email=yes; Wiley author=yes; Wiley address=yes; Wiley correspondence=yes,"Keep author name, affiliation, country, correspondence, and email metadata present."
data-code-availability,ready,statement=yes; repository=yes; release tag=yes; license=yes; credential/raw exclusion=yes; snapshot path=yes,"Maintain repository, release, license, private-credential, and source-snapshot details."
ai-funding-conflict-disclosures,ready,AI disclosure=yes; human responsibility=yes; AI no fabrication=yes; funding statement=yes; Wiley funding metadata=yes; conflict statement=yes,"Keep AI use, human responsibility, funding, and conflict statements in the manuscript."
figures-and-tables,ready,PDF figures=6; SVG sources=6; figure wrappers=6; table files=18; ZIP PDF figures=6; ZIP table files=18,"Retain generated PDF graphics, reproducible SVG sources, LaTeX wrappers, and table files."
supporting-information,ready,supplement.tex=yes; supplement.pdf=yes; supporting-information/ODD-model.md=yes; supporting-information/scenario-catalog.md=yes; supporting-information/validation-plan.md=yes; supporting-information/source-data-roadmap.md=yes; supporting-information/submission-readiness.md=yes; supporting-information/final-human-readthrough.md=yes; report-data files=71,"Keep supplement files, ODD model, scenario catalog, validation plan, source roadmap, and report data in the package."
supporting-information-format-size,ready,supporting members=135; largest=within-limit; limit=10485760; oversized=none; unlabeled=none,Keep every supporting-information member clearly labeled and at or below Wiley's 10 MB per-file guidance.
latex-submission-files,ready,exists=yes; readable=yes; encrypted=no; members=191; strategic-channel-substitution-regulatory-capture.tex=yes; strategic-channel-substitution-regulatory-capture.pdf=yes; references.bib=yes; USG.cls=yes; lettersp.sty=yes; wileyNJD-Chicago.bst=yes; supporting-information/submission-package-manifest.json=yes; supporting-information/submission-package-manifest.md=yes; Wiley form ready gates=7,"Keep the ZIP, root .tex, compiled PDF, bibliography, class/style files, figures, tables, and package manifest together."
live-reggov-author-page-refresh,ready,official URL recorded=https://onlinelibrary.wiley.com/page/journal/17485991/homepage/forauthors.html; record URL=matches; checked-by=present; checked-date=present; reviewed-release=paper-publication-readiness-2026-06-18-r152; expected-release=paper-publication-readiness-2026-06-18-r152; superseding-instructions=none,Keep the recorded live author-page check with the final signoff.
